Manufacturer,Year,Potentially Affected,cluster,severity_level,severity_label
"Chrysler (FCA US, LLC)",2020,160229,2,3,High
"BMW of North America, LLC",2020,397,1,1,Low
"General Motors, LLC",2020,95,1,1,Low
"BMW of North America, LLC",2020,4265,2,3,High
"Jaguar Land Rover North America, LLC",2020,1285,1,1,Low
"Kia America, Inc.",2020,28200,2,3,High
"Kia America, Inc.",2020,440370,2,3,High
Hyundai Motor America,2020,151205,2,3,High
"Volkswagen Group of America, Inc.",2020,11,1,1,Low
"Volkswagen Group of America, Inc.",2020,5376,2,3,High
PACCAR Incorporated,2020,1097,1,1,Low
"Altec Industries, Inc.",2020,30,1,1,Low
"Altec Industries, Inc.",2020,17,1,1,Low
"Volvo Car USA, LLC",2020,87226,2,3,High
Oshkosh Corporation,2020,172,1,1,Low
"Equipment Technology, L.L.C.",2020,60,1,1,Low
"Autocar, LLC",2020,78,1,1,Low
Ford Motor Company,2020,488,1,1,Low
Thor Motor Coach,2020,2061,2,3,High
"Foretravel, Inc.",2020,6,1,1,Low
"International Motors, LLC",2020,80,1,1,Low
"Triumph Motorcycles America, Ltd.",2020,603,1,1,Low
"BMW of North America, LLC",2020,447,1,1,Low
Keystone RV Company,2020,27,1,1,Low
"Spartan Fire, LLC",2020,1,1,1,Low
"Heartland Recreational Vehicles, LLC",2020,204,1,1,Low
Kovatch Mobile Equipment Corp.,2020,38,1,1,Low
"Forest River, Inc.",2020,1547,2,3,High
"General Motors, LLC",2020,7071,2,3,High
"BMW of North America, LLC",2020,713,1,1,Low
"Forest River, Inc.",2020,412,1,1,Low
"Forest River, Inc.",2020,1427,2,3,High
"Mercedes-Benz USA, LLC",2020,10644,2,3,High
"Forest River, Inc.",2020,643,1,1,Low
"BMW of North America, LLC",2020,42,1,1,Low
"BMW of North America, LLC",2020,43,1,1,Low
"Daimler Trucks North America, LLC",2020,1715,2,3,High
FREIGHTLINER LLC,1999,320,1,1,Low
"Chrysler (FCA US, LLC)",2020,58016,2,3,High
"BMW of North America, LLC",2020,9392,2,3,High
"Cruise Car, Inc.",2020,27,1,1,Low
"Winnebago Industries, Inc.",2020,156,1,1,Low
"Triumph Motorcycles America, Ltd.",2020,2224,2,3,High
Ford Motor Company,2020,488594,2,3,High
Ford Motor Company,2020,431,1,1,Low
"General Motors, LLC",1974,2937,0,2,Medium
"Jayco, Inc.",2020,545,1,1,Low
Ford Motor Company,2020,2965,2,3,High
"BMW of North America, LLC",2020,16926,2,3,High
American Hauler,2020,64,1,1,Low
"Mercedes-Benz USA, LLC",2020,1,1,1,Low
"BMW of North America, LLC",2020,21,1,1,Low
"Daimler Trucks North America, LLC",2020,5374,2,3,High
Ducati North America,2020,156,1,1,Low
"Bentley Motors, Inc.",2020,102,1,1,Low
"General Motors, LLC",2020,5141,2,3,High
"New Flyer of America, Inc.",2020,164,1,1,Low
Blue Bird Body Company,2020,4,1,1,Low
Blue Bird Body Company,2020,293,1,1,Low
Nova Bus (US) Inc.,2020,34,1,1,Low
Thor Motor Coach,2020,248,1,1,Low
"Kia America, Inc.",2020,834,1,1,Low
"Daimler Vans USA, LLC",2020,46,1,1,Low
Indian Motorcycle Company,2020,2742,2,3,High
"Volkswagen Group of America, Inc.",1974,3000,0,2,Medium
"Mercedes-Benz USA, LLC",2020,56,1,1,Low
"Autocar, LLC",2020,1086,1,1,Low
"General Motors, LLC",2020,769,1,1,Low
Xtreme Outdoors,2020,145,1,1,Low
Winnebago Towable,2020,267,1,1,Low
REV Recreation Group,2020,155,1,1,Low
Arcimoto Inc,2020,98,1,1,Low
"BMW of North America, LLC",2020,5,1,1,Low
Thor Motor Coach,2020,463,1,1,Low
High Altitude Trailer Co LLC,2020,6,1,1,Low
"Tiffin Motorhomes, Inc.",2020,643,1,1,Low
"BMW of North America, LLC",2020,7,1,1,Low
"Daimler Trucks North America, LLC",2020,1713,2,3,High
"Kia America, Inc.",2020,86921,2,3,High
"Mitsubishi Motors North America, Inc.",2020,3241,2,3,High
Honda (American Honda Motor Co.),2020,324196,2,3,High
Honda (American Honda Motor Co.),2020,212070,2,3,High
Honda (American Honda Motor Co.),2020,607786,2,3,High
Honda (American Honda Motor Co.),2020,499344,2,3,High
"Daimler Vans USA, LLC",2020,26,1,1,Low
"Daimler Vans USA, LLC",2020,4,1,1,Low
Keystone RV Company,2020,594,1,1,Low
Redundant JAGUAR ROVER TRIUMPH INC.,1990,35000,0,2,Medium
PACCAR Incorporated,2020,239,1,1,Low
